PERIOD_BEGIN;PERIOD;VALOR;INSTR_TYPE;TYPE_OF_SECURITY;GK;DOMICILE;TAX_APPLICABILITY_333;TAX_PARTICULARITY_333;TAX_PECULIARITY_333;DELTA_SIX_CALC;DELTA_3RD_PARTY;NR_871M;DELTA_AT_ISSU_MIN_871M;DELTA_AT_ISSU_MAX_871M;NR_DELTA_AT_ISSU_E100_871M;NR_DELTA_AT_ISSU_G095_871M;NR_DELTA_AT_ISSU_G080_871M;NR_DELTA_AT_ISSU_G075_871M;NR_NON_871M;DELTA_AT_ISSU_MIN_NON_871M;DELTA_AT_ISSU_MAX_NON_871M;NR_DELTA_AT_ISSU_E100_NON_871M;NR_DELTA_AT_ISSU_G095_NON_871M;NR_DELTA_AT_ISSU_G080_NON_871M;NR_DELTA_AT_ISSU_G075_NON_871M;NR_XSD_297
20180605;d;60675942;4;Z;709030;333;34.0;;;-0.62644;;;;;;;;;;;;;;;;
20180605;d;60675992;4;Z;709030;333;34.0;;;-0.20306;;;;;;;;;;;;;;;;
20180605;d;60675996;4;Z;709030;333;34.0;;;-0.03622;;;;;;;;;;;;;;;;
20180605;d;60675998;4;Z;709030;333;34.0;;;-0.12642;;;;;;;;;;;;;;;;
20180605;d;60675982;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;10716402;12;6;26338;1;33.0;1.0;1.0;;;;;;;;;;1.0;;;;;;;4.0
20180605;d;10716403;12;6;26338;1;33.0;1.0;1.0;;;;;;;;;;1.0;;;;;;;2.0
20180605;d;60675957;4;Z;709030;333;34.0;;;0.76355;;;;;;;;;;;;;;;;
20180605;d;60675960;4;Z;709030;333;34.0;;;-0.05384;;;;;;;;;;;;;;;;
20180605;d;60676077;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61512046;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61512048;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61512063;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61512066;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60676065;4;Z;709030;333;34.0;;;0.10521;;;;;;;;;;;;;;;;
20180605;d;60676040;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60676041;4;Z;709030;333;34.0;;;0.17299;;;;;;;;;;;;;;;;
20180605;d;61557289;4;Z;709030;333;34.0;;;-0.01113;;;;;;;;;;;;;;;;
20180605;d;61557292;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61557295;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61557298;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61557304;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61557314;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;1438854;12;6;6108;402;33.0;1.0;2.0;;1.0;;;;;;;;;;;;;;;1.0
20180605;d;2802773;12;6;6108;402;33.0;1.0;1.0;;0.0;;;;;;;;;;;;;;;5.0
20180605;d;61452731;4;Z;709030;333;34.0;;;-0.2263;;;;;;;;;;;;;;;;
20180605;d;61452735;4;Z;709030;333;34.0;;;-0.20609;;;;;;;;;;;;;;;;
20180605;d;61511846;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;61511856;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511837;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;61511858;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675455;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675389;4;Z;709030;333;34.0;;;0.56438;;;;;;;;;;;;;;;;
20180605;d;61511836;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511847;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;60675484;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675486;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511871;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;61511875;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;61511878;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675368;4;Z;709030;333;34.0;;;-0.50435;;;;;;;;;;;;;;;;
20180605;d;60675370;4;Z;709030;333;34.0;;;-0.06743;;;;;;;;;;;;;;;;
20180605;d;60675375;4;Z;709030;333;34.0;;;0.11861;;;;;;;;;;;;;;;;
20180605;d;61511861;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;
20180605;d;61449968;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61449971;4;Z;709030;333;34.0;;;-0.01214;;;;;;;;;;;;;;;;
20180605;d;61449973;4;Z;709030;333;34.0;;;-0.01101;;;;;;;;;;;;;;;;
20180605;d;61449975;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61449985;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;60675493;4;Z;709030;333;34.0;;;0.24068;;;;;;;;;;;;;;;;
20180605;d;60675498;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
20180605;d;61511880;4;P;709030;333;18.0;;;;;;;;;;;;;;;;;;;1.0
20180605;d;60675355;4;Z;709030;333;34.0;;;;;;;;;;;;;;;;;;;
